Full_date_start,Year_start,Month_start,Day_start,Full_date_end,Year_end,Month_end,Day_end,Country,Location,Type,Sub_Type,Name,Killed,Cost_dollars,Affected,Id
4101963,1963,10,41,8101963,1963,10,81,Haiti,South West End Hispaniola,Storm,Tropical cyclone,Flora,5000,,180,1963-0028
24071943,1943,7,24,24071943,1943,7,24,India,Rajputana,Storm,Tropical cyclone,,5000,,,1943-0011
51919,1919,5,,51919,1919,5,,Indonesia,Small Island between Java,Volcano,Volcanic eruption,Mount Kelud,5000,,,1919-0001
23011909,1909,1,23,23011909,1909,1,23,Iran Islam Rep,Boroujerd,Earthquake (seismic activity),Earthquake (ground shaking),,5000,,,1909-0007
121941,1941,12,,121941,1941,12,,Peru,Huaray,Mass movement wet,Landslide,,5000,,,1941-0004
71968,1968,7,,71968,1968,7,,India,"(1) Rajasthan, Gujarat - ",Flood,Flash flood,,4892,7500000,94.2,1968-0055
28081951,1951,8,28,28081951,1951,8,28,China P Rep,Manchuria,Flood,,,4800,,,1951-0018
30051998,1998,5,30,30051998,1998,5,30,Afghanistan,Shari-I-Buzurg (Faizabad,Earthquake (seismic activity),Earthquake (ground shaking),,4700,116935,10,1998-0152
28121974,1974,12,28,28121974,1974,12,28,Pakistan,North Indus R. Valley,Earthquake (seismic activity),Earthquake (ground shaking),,4700,50200,3.255,1974-0063
23111980,1980,11,23,23111980,1980,11,23,Italy,"Avellino, Potenza, Casert",Earthquake (seismic activity),Earthquake (ground shaking),,4689,400000,20000,1980-0103
13121902,1902,12,13,13121902,1902,12,13,Soviet Union,"Andishan,Tashkent (Uzbeki",Earthquake (seismic activity),Earthquake (ground shaking),,4562,,,1902-0011
21996,1996,2,,27031996,1996,3,27,Nigeria,"Sokoto, Kebbi, Kaduna, Ba",Epidemic,Bacterial Infectious Diseases,Cerebro spinal,4346,30212,,1996-0058
15082008,2008,8,15,23072009,2009,7,23,Zimbabwe,"Shamva, Centenary, Mazowe",Epidemic,Bacterial Infectious Diseases,Cholera,4276,98349,,2008-0511
15112007,2007,11,15,19112007,2007,11,19,Bangladesh,"Khulna-Barisal coast,  Ba",Storm,Tropical cyclone,Sidr,4234,8978541,2300,2007-0556
7021996,1996,2,70,21996,1996,2,,Burkina Faso,"Bam, Bazega, Bougouriba, ",Epidemic,Bacterial Infectious Diseases,,4071,40506,,1996-0057
91917,1917,9,,91917,1917,9,,Japan,Honshu,Storm,Tropical cyclone,,4000,,50,1917-0005
27111945,1945,11,27,27111945,1945,11,27,Pakistan,Makran,Earthquake (seismic activity),Earthquake (ground shaking),,4000,,,1945-0007
20121987,1987,12,20,20121987,1987,12,20,Philippines,Near Mindoro,Transport Accident,Water,Ferry 'Dona Paz' and tanker 'Victor',4000,,,1987-0230
26111942,1942,11,26,26111942,1942,11,26,Turkey,,Earthquake (seismic activity),Earthquake (ground shaking),,4000,,,1942-0025
4121952,1952,12,41,4121952,1952,12,41,United Kingdom,London,Storm,,,4000,,,1952-0012
1021944,1944,2,10,1021944,1944,2,10,Turkey,Gerede (West Anatolia),Earthquake (seismic activity),Earthquake (ground shaking),,3959,,,1944-0003
24111976,1976,11,24,24111976,1976,11,24,Turkey,Muradiye,Earthquake (seismic activity),Earthquake (ground shaking),,3840,216000,25,1976-0075
71978,1978,7,,71978,1978,7,,India,"North, Northeast",Flood,,,3800,32000000,165,1978-0087
1091923,1923,9,10,1091923,1923,9,10,Japan,"Tokyo, Yokohama",Miscellaneous accident,Fire,,3800,,,1923-0008
18091945,1945,9,18,18091945,1945,9,18,Japan,"Kyushu, Kanto",Storm,Tropical cyclone,Makurazaki,3746,1340691,400,1945-0002
2111997,1997,11,21,4111997,1997,11,41,Viet Nam,"Ca Mau, Soc Trang, Ben Tr",Storm,Tropical cyclone,Linda,3682,1081127,470,1997-0267
1071998,1998,7,10,30081998,1998,8,30,China P Rep,"Hubei, Hunan, Sichuan, Ji",Flood,General flood,,3656,238973000,30000,1998-0165
20041935,1935,4,20,20041935,1935,4,20,Taiwan (China),"Taihoku, Taichu",Earthquake (seismic activity),Earthquake (ground shaking),,3410,,,1935-0003
25101998,1998,10,25,8111998,1998,11,81,Nicaragua,Chinandega and Esteli,Storm,Tropical cyclone,Mitch,3332,868228,987.7,1998-0344
1051929,1929,5,10,1051929,1929,5,10,Iran Islam Rep,Beinin,Earthquake (seismic activity),Earthquake (ground shaking),,3300,1121,,1929-0012
51984,1984,5,,51984,1984,5,,India,W Bengal State,Epidemic,Parasitic Infectious Diseases,Dysentery,3290,27000,,1984-0316
1011967,1967,1,10,1011967,1967,1,10,India,,Epidemic,Viral Infectious Diseases,,3029,13576,,1967-0004
3031995,1995,3,30,3031995,1995,3,30,Niger,,Epidemic,Bacterial Infectious Diseases,,3022,63691,,1995-0427
2031933,1933,3,20,2031933,1933,3,20,Japan,Sanriku coast (Honshu Isl,Earthquake (seismic activity),Earthquake (ground shaking),,3008,,,1933-0006
21091934,1934,9,21,21091934,1934,9,21,Japan,Muruto,Storm,Tropical cyclone,,3006,,50,1934-0008
1111927,1927,11,11,1111927,1927,11,11,Algeria,Mostaganem,Flood,,,3000,,,1927-0012
9101960,1960,10,91,9101960,1960,10,91,Bangladesh,"Noakhali, Off-Shore Islan",Storm,Tropical cyclone,,3000,,,1960-0030
25071969,1969,7,25,25071969,1969,7,25,China P Rep,Tientsin (Swatow province,Earthquake (seismic activity),Earthquake (ground shaking),,3000,,,1969-0082
111988,1988,11,,111988,1988,11,,India,Along Nepal/Uttar Pradesh,Epidemic,Viral Infectious Diseases,Encaphalitis,3000,,,1988-0496
13121957,1957,12,13,13121957,1957,12,13,Iran Islam Rep,Western Iran,Earthquake (seismic activity),Earthquake (ground shaking),,3000,5000,,1957-0013
3031933,1933,3,30,3031933,1933,3,30,Japan,Sanriku,Earthquake (seismic activity),Tsunami,,3000,,,1933-0001
91923,1923,9,,91923,1923,9,,Japan,Honshu,Storm,Tropical cyclone,,3000,,10,1923-0009
15011951,1951,1,15,20011951,1951,1,20,Papua New Guinea,,Volcano,Volcanic eruption,Mount Lamington,3000,,,1951-0006
20121942,1942,12,20,20121942,1942,12,20,Turkey,Niksar-Erbaa,Earthquake (seismic activity),Earthquake (ground shaking),,3000,,,1942-0011
7031927,1927,3,70,7031927,1927,3,70,Japan,"Tango, Honshu",Earthquake (seismic activity),Earthquake (ground shaking),,2925,,40,1927-0004
1950,1950,,,1950,1950,,,Pakistan,,Flood,,,2900,,,1950-0001
9061998,1998,6,90,11061998,1998,6,11,India,"Kutch, Porbandar, Jamnaga",Storm,Tropical cyclone,03A,2871,4600893,469,1998-0183
26111943,1943,11,26,26111943,1943,11,26,Turkey,Ladik,Earthquake (seismic activity),Earthquake (ground shaking),,2824,5000,,1943-0014
20091973,1973,9,20,20091973,1973,9,20,Honduras,Cholima,Mass movement wet,Landslide,,2800,,,1973-0039
30061996,1996,6,30,26071996,1996,7,26,China P Rep,"Anhui, Guizhou, Hebei, He",Flood,General flood,,2775,154634000,12600,1996-0103
1988,1988,,,1989,1989,,,Sudan,"Khartoum, Central region",Epidemic,Bacterial Infectious Diseases,,2770,38805,,1988-0004
17092004,2004,9,17,18092004,2004,9,18,Haiti,"Artibonite, Plateau Centr",Storm,Tropical cyclone,Jeanne,2754,315594,50,2004-0473
7081956,1956,8,70,7081956,1956,8,70,Colombia,Cali,Industrial Accident,Explosion,,2700,,40,1956-0026
19051926,1926,5,19,19051926,1926,5,19,Myanmar,Arrakan,Storm,Tropical cyclone,,2700,40000,,1926-0005
16071935,1935,7,16,16071935,1935,7,16,Taiwan (China),,Earthquake (seismic activity),Earthquake (ground shaking),,2700,,,1935-0006
91982,1982,9,,91982,1982,9,,Bangladesh,"North, East, South",Epidemic,Bacterial Infectious Diseases,Cholera,2696,173460,,1982-0098
82003,2003,8,,82003,2003,8,,Portugal,,Extreme temperature,Heat wave,,2696,,,2003-0391
23052004,2004,5,23,1062004,2004,6,10,Haiti,Fonds Verrettes (West dep,Flood,General flood,,2665,31283,,2004-0231
29121917,1917,12,29,29121917,1917,12,29,Guatemala,Guatemala city,Earthquake (seismic activity),Earthquake (ground shaking),,2650,,,1917-0009
10101980,1980,10,10,10101980,1980,10,10,Algeria,El Asnam,Earthquake (seismic activity),Earthquake (ground shaking),,2633,930317,5200,1980-0096
